"ID";"X3.Forest_1985";"X5.Mangrove_1985";"X6.Floodable_Formation_1985";"X33.RiverLakeOcean_1985";"X41.OtherTemporaryPond_1985";"X12.Grassland_1985";"X29.RockyOutcrop_1985";"X15.Pasture_1985";"X24.UrbanArea_1985";"X25.OtherNonVegetable_1985";"X0.x";"X30.Mining_1985";"X4.Savanna_Fomation_1985";"X11.Wetland_1985";"X21.MosaicOfUse_1985";"X3.Forest_2000";"X5.Mangrove_2000";"X6.Floodable_Formation_2000";"X30.Mining_2000";"X33.RiverLakeOcean_2000";"X12.Grassland_2000";"X29.RockyOutcrop_2000";"X15.Pasture_2000";"X24.UrbanArea_2000";"X25.OtherNonVegetable_2000";"X41.OtherTemporaryPond_2000";"X4.Savanna_Fomation_2000";"X11.Wetland_2000";"X21.MosaicOfUse_2000";"X39.Soybean_2000";"X9.ForestPlantation_2000";"X0.y";"X3.Forest_2015";"X5.Mangrove_2015";"X6.Floodable_Formation_2015";"X30.Mining_2015";"X33.RiverLakeOcean_2015";"X11.Wetland_2015";"X12.Grassland_2015";"X29.RockyOutcrop_2015";"X0.x.x";"X15.Pasture_2015";"X24.UrbanArea_2015";"X25.OtherNonVegetable_2015";"X41.OtherTemporaryPond_2015";"X4.Savanna_Fomation_2015";"X21.MosaicOfUse_2015";"X39.Soybean_2015";"X9.ForestPlantation_2015";"X3.Forest_2024";"X5.Mangrove_2024";"X6.Floodable_Formation_2024";"X30.Mining_2024";"X32.Hypersaline_2024";"X33.RiverLakeOcean_2024";"X12.Grassland_2024";"X29.RockyOutcrop_2024";"X15.Pasture_2024";"X24.UrbanArea_2024";"X25.OtherNonVegetable_2024";"X39.Soybean_2024";"X4.Savanna_Fomation_2024";"X11.Wetland_2024";"X21.MosaicOfUse_2024";"X41.OtherTemporaryPond_2024";"X9.ForestPlantation_2024";"X0.y.y";"latitude";"longitude";"morfotipo"
"135";280;0;0;0;0;420;2797;29;0;0;0;0;8;0;0;280;0;0;0;0;421;2797;29;0;0;0;7;0;0;0;0;0;280;0;0;0;0;0;420;2798;0;29;0;0;0;7;0;0;0;280;0;0;0;0;0;249;2824;173;0;0;0;8;0;0;0;0;0;"-6,1917";"-52,1584";"orange"
"136";3292;0;0;0;0;0;0;222;0;0;0;0;0;0;0;818;0;0;0;0;0;0;2696;0;0;0;0;0;0;0;0;0;513;0;0;0;0;0;0;0;0;3001;0;0;0;0;0;0;0;457;0;0;0;0;0;0;0;3043;0;0;0;0;0;0;14;0;0;"-3,3781";"-52,6042";"orange"
"137";726;0;0;0;0;0;0;2786;0;6;0;0;0;0;0;799;0;0;0;0;0;0;2719;0;0;0;0;0;0;0;0;0;1184;0;0;0;0;0;0;0;0;2334;0;0;0;0;0;0;0;1250;0;0;0;0;0;0;0;2268;0;0;0;0;0;0;0;0;0;"-7,8584";"-47,9672";"orange"
"138";3518;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3342;0;0;0;0;0;0;176;0;0;0;0;0;0;0;0;0;1272;0;0;0;0;0;0;0;0;2246;0;0;0;0;0;0;0;1099;0;0;0;0;0;0;0;2415;0;0;0;0;0;0;0;4;0;"-6,1648";"-48,4871";"orange"
"139";0;0;0;3515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3515;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3515;0;0;0;0;0;0;0;0;0;0;0;0;"-5,7527";"-48,3527";"orange"
"140";3516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3516;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3244;0;0;0;0;0;0;0;0;23;0;0;33;0;0;216;0;3245;0;0;0;0;0;0;0;8;0;0;263;0;0;0;0;0;0;"-4,9014";"-47,4882";"orange"
"141";1030;0;0;0;0;0;0;2468;15;0;0;0;0;0;0;1335;0;0;0;0;0;0;2120;38;0;18;0;0;0;2;0;0;1288;0;0;0;0;0;0;0;0;646;67;0;813;0;0;699;0;1251;0;0;0;0;0;0;0;860;73;0;524;0;0;0;805;0;0;"-4,5161";"-47,0783";"orange"
"142";3050;0;46;351;0;0;0;0;0;0;0;0;0;55;0;3057;0;55;0;237;0;0;0;0;0;0;0;153;0;0;0;0;3041;0;38;0;346;77;0;0;0;0;0;0;0;0;0;0;0;3051;0;23;0;0;404;0;0;0;0;0;0;0;24;0;0;0;0;"-2,5179";"-44,3263";"orange"
"143";104;0;68;3114;0;117;0;0;0;0;0;0;0;90;0;99;0;73;0;3118;120;0;0;0;3;0;0;80;0;0;0;0;83;0;63;0;3142;33;1;0;0;0;63;108;0;0;0;0;0;71;0;67;0;0;3140;0;0;0;155;26;0;0;34;0;0;0;0;"-3,0466";"-47,2522";"orange"
"144";3478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3478;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;"-2,9569";"-47,4386";"orange"
"145";420;0;48;3008;0;0;0;0;0;0;0;0;0;0;0;419;0;41;0;3016;0;0;0;0;0;0;0;0;0;0;0;0;420;0;33;0;3023;0;0;0;0;0;0;0;0;0;0;0;0;421;0;34;0;0;3021;0;0;0;0;0;0;0;0;0;0;0;0;"-4,3727";"-49,6113";"orange"
